K,Trial,JobID,Size(B),MAXRSS(KB)
10,1,ID0000001,12406108,3164668
10,1,ID0000002,16412308,3279356
10,1,ID0000003,13517129,3242428
10,1,ID0000004,14428223,3240928
10,1,ID0000005,14839257,3251296
10,1,ID0000006,22061623,3413100
10,1,ID0000007,22222079,3401252
10,1,ID0000008,12960202,3208412
10,1,ID0000009,13360644,3204160
10,1,ID0000010,14580969,3264112
10,2,ID0000001,12405393,3164668
10,2,ID0000002,16411375,3279348
10,2,ID0000003,13517709,3242448
10,2,ID0000004,14427720,3240920
10,2,ID0000005,14838896,3251296
10,2,ID0000006,22060554,3413112
10,2,ID0000007,22220021,3401256
10,2,ID0000008,12959455,3208412
10,2,ID0000009,13360365,3204168
10,2,ID0000010,14581079,3264092
10,3,ID0000001,12405734,3164664
10,3,ID0000002,16411781,3279340
10,3,ID0000003,13517540,3242320
10,3,ID0000004,14428098,3240888
10,3,ID0000005,14839112,3251404
10,3,ID0000006,22060396,3413096
10,3,ID0000007,22220813,3401260
10,3,ID0000008,12959645,3208404
10,3,ID0000009,13360505,3204160
10,3,ID0000010,14581305,3264124
16,1,ID0000001,5890208,2924624
16,1,ID0000002,6116361,2953200
16,1,ID0000003,6344026,2976660
16,1,ID0000004,7022160,2983052
16,1,ID0000005,6440694,2970136
16,1,ID0000006,6372413,2961488
16,1,ID0000007,6673138,2963572
16,1,ID0000008,8461729,3008456
16,1,ID0000009,10833412,3075768
16,1,ID0000010,9685412,3061828
16,1,ID0000011,8957101,3035284
16,1,ID0000012,8657989,3033672
16,1,ID0000013,6526730,2950640
16,1,ID0000014,6263605,2915292
16,1,ID0000015,7185903,2979776
16,1,ID0000016,7875476,3001340
16,2,ID0000001,5889952,2924620
16,2,ID0000002,6115999,2953180
16,2,ID0000003,6343591,2976648
16,2,ID0000004,7022419,2983008
16,2,ID0000005,6441116,2969884
16,2,ID0000006,6372314,2961468
16,2,ID0000007,6673027,2963568
16,2,ID0000008,8461751,3008444
16,2,ID0000009,10833162,3075496
16,2,ID0000010,9685482,3061808
16,2,ID0000011,8957125,3035264
16,2,ID0000012,8658018,3033664
16,2,ID0000013,6526535,2950628
16,2,ID0000014,6263694,2915284
16,2,ID0000015,7185637,2979740
16,2,ID0000016,7875229,3001344
16,3,ID0000001,5889953,2924620
16,3,ID0000002,6116375,2953184
16,3,ID0000003,6343915,2976724
16,3,ID0000004,7022733,2983080
16,3,ID0000005,6441106,2969868
16,3,ID0000006,6372450,2961480
16,3,ID0000007,6672975,2963576
16,3,ID0000008,8461788,3008444
16,3,ID0000009,10833149,3075500
16,3,ID0000010,9685558,3061816
16,3,ID0000011,8956988,3035272
16,3,ID0000012,8658063,3033660
16,3,ID0000013,6526678,2950628
16,3,ID0000014,6263710,2915284
16,3,ID0000015,7185819,2979752
16,3,ID0000016,7875349,3001332
2,1,ID0000001,87060872,6096480
2,1,ID0000002,97159204,6409368
2,2,ID0000001,87060889,6096452
2,2,ID0000002,97158816,6409336
2,3,ID0000001,87061179,6096472
2,3,ID0000002,97159067,6409368
5,1,ID0000001,33608892,3923204
5,1,ID0000002,34801517,3962404
5,1,ID0000003,41342825,4144136
5,1,ID0000004,39676780,4089444
5,1,ID0000005,34557132,3947816
5,2,ID0000001,33608096,3923196
5,2,ID0000002,34801052,3962764
5,2,ID0000003,41342483,4144124
5,2,ID0000004,39676860,4089432
5,2,ID0000005,34556682,3947816
5,3,ID0000001,33608695,3923196
5,3,ID0000002,34801536,3962784
5,3,ID0000003,41342364,4144140
5,3,ID0000004,39676947,4089436
5,3,ID0000005,34556670,3947820
